epoch,train_loss,train_acc,test_loss,test_acc
1,1.6146416661074705,41.262,1.3359646326417376,51.57
2,1.3786290285684872,50.23,1.2078974467174264,56.61
3,1.2830179478506298,54.15,1.144015235885693,59.33
4,1.2239486546162754,56.272,1.0792928664547623,61.65
5,1.188237750240604,57.846,1.0630994811179533,61.94
6,1.1500954884854728,59.24,1.0703532555300719,62.12
7,1.121912467891298,60.326,1.0197375124427164,64.61
8,1.1140927205152829,60.534,1.014197859794471,64.09
9,1.0846045585087194,61.818,1.038745658792508,62.52
10,1.078191094157641,62.016,0.9789112449451617,66.31
