epoch,train_loss,train_acc,test_loss,test_acc
1,1.5671356744168665,43.68,1.3608929738876925,51.17
2,1.2793632115397002,54.508,1.249183890166556,55.28
3,1.1697928964939264,58.746,1.1711665164133547,59.05
4,1.0891193025709722,61.582,1.1258239453765237,60.57
5,1.0329064008829845,63.784,1.094295909070665,61.95
6,0.9835441319076607,65.702,1.0961855050105198,61.87
7,0.9446865346882959,66.862,1.0791795117080591,62.63
8,0.9081629911804443,68.032,1.0818622579240496,62.31
9,0.8782905017780831,69.214,1.0602426358089325,63.27
10,0.8478905710646564,70.116,1.0848794055592483,63.01
