epoch,train_loss,train_acc,test_loss,test_acc
1,1.5031708987320171,44.706,1.128725242462887,59.76
2,1.1031475590013178,60.682,1.1349925125480458,61.39
3,0.9418949773701866,66.956,0.8443748400469494,69.95
4,0.8406398911076738,71.12,0.7085937449506893,75.42
5,0.7488683817712852,74.376,0.6934766346102308,75.7
6,0.690510319169525,76.566,0.612609616320604,79.06
7,0.6342395545767091,78.742,0.6133082469177854,79.53
8,0.5937998662595554,80.234,0.5525552374162491,81.36
9,0.5577443592307513,81.342,0.4922623657117224,83.12
10,0.5215802721660155,82.504,0.5206103142659375,82.54
